"Dataset Name","Dataset Code","Country Name","Country Code","Indicator Name","Indicator Code","Sector Name","Sector Code","Counterpart Sector Name","Counterpart Sector Code","Counterpart Country Name","Counterpart Country Code","Metadata Attribute","Metadata Value","Frequency"
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bangladesh","513","","","","","","","","","Country ISO 2 Code","BD",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bangladesh","513","","","","","","","","","Country ISO 3 Code","BGD",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bangladesh","513","","","","","","","","","Country Name","Bangladesh",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bangladesh","513","","","","","","","","","Country SDMX Code","BD",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bangladesh","513","","","","","","","","","Country SDMX Name","Bangladesh",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bangladesh","513","","","","","","","","","Country Short Name","Bangladesh",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Barbados","316","","","","","","","","","Country Code","316",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Barbados","316","","","","","","","","","Country Full Name","Barbados",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Barbados","316","","","","","","","","","Country ISO 2 Code","BB",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Barbados","316","","","","","","","","","Country ISO 3 Code","BRB",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Barbados","316","","","","","","","","","Country Name","Barbados",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Barbados","316","","","","","","","","","Country SDMX Code","BB",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Barbados","316","","","","","","","","","Country SDMX Name","Barbados",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Barbados","316","","","","","","","","","Country Short Name","Barbados",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belarus, Rep. of","913","","","","","","","","","Country Code","913",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belarus, Rep. of","913","","","","","","","","","Country Full Name","Belarus, Republic of",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belarus, Rep. of","913","","","","","","","","","Country ISO 2 Code","BY",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belarus, Rep. of","913","","","","","","","","","Country ISO 3 Code","BLR",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belarus, Rep. of","913","","","","","","","","","Country Name","Belarus, Rep. of",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belarus, Rep. of","913","","","","","","","","","Country SDMX Code","BY",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belarus, Rep. of","913","","","","","","","","","Country SDMX Name","Belarus",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belarus, Rep. of","913","","","","","","","","","Country Short Name","Belarus",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belgium","124","","","","","","","","","Country Code","124",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belgium","124","","","","","","","","","Country Full Name","Belgium",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belgium","124","","","","","","","","","Country ISO 2 Code","BE",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belgium","124","","","","","","","","","Country ISO 3 Code","BEL",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belgium","124","","","","","","","","","Country Name","Belgium",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belgium","124","","","","","","","","","Country SDMX Code","BE",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belgium","124","","","","","","","","","Country SDMX Name","Belgium",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belgium","124","","","","","","","","","Country Short Name","Belgium",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belize","339","","","","","","","","","Country Code","339",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belize","339","","","","","","","","","Country Full Name","Belize",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belize","339","","","","","","","","","Country ISO 2 Code","BZ",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belize","339","","","","","","","","","Country ISO 3 Code","BLZ",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belize","339","","","","","","","","","Country Name","Belize",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belize","339","","","","","","","","","Country SDMX Code","BZ",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belize","339","","","","","","","","","Country SDMX Name","Belize",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Belize","339","","","","","","","","","Country Short Name","Belize",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Benin","638","","","","","","","","","Country Code","638",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Benin","638","","","","","","","","","Country Full Name","Benin",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Benin","638","","","","","","","","","Country ISO 2 Code","BJ",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Benin","638","","","","","","","","","Country ISO 3 Code","BEN",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Benin","638","","","","","","","","","Country Name","Benin",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Benin","638","","","","","","","","","Country SDMX Code","BJ",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Benin","638","","","","","","","","","Country SDMX Name","Benin",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Benin","638","","","","","","","","","Country Short Name","Benin",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bermuda","319","","","","","","","","","Country Code","319",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bermuda","319","","","","","","","","","Country Full Name","Bermuda",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bermuda","319","","","","","","","","","Country ISO 2 Code","BM",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bermuda","319","","","","","","","","","Country ISO 3 Code","BMU",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bermuda","319","","","","","","","","","Country Name","Bermuda",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bermuda","319","","","","","","","","","Country SDMX Code","BM",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bermuda","319","","","","","","","","","Country SDMX Name","Bermuda",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bermuda","319","","","","","","","","","Country Short Name","Bermuda",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bhutan","514","","","","","","","","","Country Code","514",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bhutan","514","","","","","","","","","Country Full Name","Bhutan",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bhutan","514","","","","","","","","","Country ISO 2 Code","BT",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bhutan","514","","","","","","","","","Country ISO 3 Code","BTN",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bhutan","514","","","","","","","","","Country Name","Bhutan",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bhutan","514","","","","","","","","","Country SDMX Code","BT",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bhutan","514","","","","","","","","","Country SDMX Name","Bhutan",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bhutan","514","","","","","","","","","Country Short Name","Bhutan",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bolivia","218","","","","","","","","","Country Code","218",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bolivia","218","","","","","","","","","Country Full Name","Bolivia",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bolivia","218","","","","","","","","","Country ISO 2 Code","BO",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bolivia","218","","","","","","","","","Country ISO 3 Code","BOL",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bolivia","218","","","","","","","","","Country Name","Bolivia",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bolivia","218","","","","","","","","","Country SDMX Code","BO",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bolivia","218","","","","","","","","","Country SDMX Name","Bolivia",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bolivia","218","","","","","","","","","Country Short Name","Bolivia",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bonaire, St. Eustatius and Saba","357","","","","","","","","","Country Code","357",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bonaire, St. Eustatius and Saba","357","","","","","","","","","Country Full Name","Bonaire, Saint Eustatius and Saba",""
